l2_province,l3_city,l3_city_id,longitude,latitude,,,,,,,,,
Jawa Barat,Sumedang,e0720aba-a134-4091-bf40-ce754846b23f,107.98333,-6.83333,,,,,,,,,
Jawa Barat,Tasikmalaya,387cd2f2-e3b0-4a22-aeae-111ce36e4864,108.22139,-7.35472,,,,,,,,,
Jawa Barat,Tasikmalaya,b094b559-57f7-44ba-b9a6-f9eb157bcbdf,108.15,-7.5,,,,,,,,,
Jawa Tengah,Banjarnegara,8b4940c1-cb74-4b02-915b-e08a024fec17,109.5875,-7.35111,,,,,,,,,
Jawa Tengah,Banyumas,c83795ec-8c10-45e7-90e0-8e1003488736,109.15,-7.43333,,,,,,,,,
Jawa Tengah,Batang,cd6bf080-5d35-46f8-8778-6bc1c58036d5,109.8675,-7.025,,,,,,,,,
Jawa Tengah,Blora,15f22273-0577-479e-a20a-912b6e30baec,111.41667,-7.08333,,,,,,,,,
Jawa Tengah,Boyolali,f8bb7ac9-9299-4481-9ded-2e5f2fa203c6,110.71667,-7.46667,,,,,,,,,
Jawa Tengah,Brebes,7edbc8a7-cbe1-47f1-a6e2-469e6c13d236,108.9,-7.05,,,,,,,,,
Jawa Tengah,Cilacap,02986a2e-84c5-498a-9db6-336146d227b7,108.98861,-7.57417,,,,,,,,,
Jawa Tengah,Demak,677f2aa7-cf0f-4b06-9094-96e820536f34,110.6122,-6.8993,,,,,,,,,
Jawa Tengah,Grobogan,a91cd33f-cccb-4674-8289-bd80db1cbfdd,110.91667,-7.13333,,,,,,,,,
Jawa Tengah,Jepara,7eab3dac-8d40-4fb4-ab25-7279b47203ba,110.78333,-6.6,,,,,,,,,
Jawa Tengah,Karanganyar,69f71465-0d6f-48e3-89f3-8358af68d5f5,111.0625,-7.62806,,,,,,,,,
Jawa Tengah,Kebumen,4ef6a1aa-6d35-45bc-b1a4-1b027c34ad84,109.66056,-7.63917,,,,,,,,,
Jawa Tengah,Kendal,a7a00b99-fe57-49e7-99e0-f40e43316e5a,110.1685,-7.0256,,,,,,,,,
Jawa Tengah,Klaten,3fe12bc8-ba47-4ce3-bad4-387b7d6d2470,110.63333,-7.68333,,,,,,,,,
Jawa Tengah,Kudus,848bdd2e-7a04-485a-8b1c-c74a2c8075d2,110.88333,-6.78333,,,,,,,,,
Jawa Tengah,Magelang,2caf7fde-61d9-417c-82fe-d8a606252e87,110.21667,-7.48333,,,,,,,,,
Jawa Tengah,Magelang,de51c5ec-7620-4e38-b785-2449aa095e19,110.16194,-7.4275,,,,,,,,,
Jawa Tengah,Pati,a3e3cde2-ba50-4fa3-a8b9-1558de57f42d,111.08333,-6.73333,,,,,,,,,
Jawa Tengah,Pekalongan,2b791c0b-93db-4e49-934d-9fd518936afc,109.67583,-6.89333,,,,,,,,,
Jawa Tengah,Pekalongan,b0209f5c-ebd5-4f81-92bd-d14401735d2b,109.624,-7.0319,,,,,,,,,
Jawa Tengah,Pemalang,2d4866e2-bf71-4295-9484-bb5c2aea69ee,109.38333,-7.05,,,,,,,,,
Jawa Tengah,Purbalingga,a4ac27fb-7125-4938-9ab7-8396c3bb4512,109.35028,-7.28417,,,,,,,,,
Jawa Tengah,Purworejo,4162f857-cecc-449f-88c2-97ce663653c4,109.96667,-7.7,,,,,,,,,
Jawa Tengah,Rembang,00a7136c-b523-4540-b787-2731efbf4dfc,111.46667,-6.78333,,,,,,,,,
Jawa Tengah,Salatiga,271c44a3-75bc-48a5-af0a-2425a934beb6,110.48333,-7.33278,,,,,,,,,
Jawa Tengah,Semarang,a9ff8f92-f835-47a5-b74b-4425bda9e092,110.385,-7.025,,,,,,,,,
Jawa Tengah,Semarang,d83cac16-5462-4893-8c91-a8bd84639d4c,110.44139,-7.20667,,,,,,,,,
Jawa Tengah,Sragen,6a7ed0cd-c2c6-407a-8c42-b49b9e0e31ca,110.935,-7.41278,,,,,,,,,
Jawa Tengah,Sukoharjo,9d9bf985-f496-4afe-9213-cb401b985ff5,110.86389,-7.67889,,,,,,,,,
Jawa Tengah,Surakarta,17c26ccc-5329-494c-b6ad-4b37a0c12fde,110.82333,-7.55806,,,,,,,,,
Jawa Tengah,Tegal,0e4def0c-3507-4ab3-b2b5-78b9ce92a34a,109.16667,-7.03333,,,,,,,,,
Jawa Tengah,Tegal,a5891954-798b-42cb-a02e-0be4c1ad4eec,109.1129,-6.8686,,,,,,,,,
Jawa Tengah,Temanggung,b16850e3-e7e1-4ca5-b191-241cfd6bc445,110.13333,-7.25,,,,,,,,,
Jawa Tengah,Wonogiri,7a0ea9d7-6ebf-410c-96ce-815dcbbd4047,111,-7.91667,,,,,,,,,
Jawa Tengah,Wonosobo,d045318e-0f19-4edb-9fc8-3077e2fa76d5,109.92667,-7.36139,,,,,,,,,
Jawa Timur,Bangkalan,7a75068f-8a49-4b79-8214-7d3443de7435,112.93333,-7.05,,,,,,,,,
Jawa Timur,Banyuwangi,510747f2-1189-4cb7-8e19-07925e545186,114.16667,-8.36667,,,,,,,,,
Jawa Timur,Batu,b18bda87-85a7-4f9e-96a9-a8dd19cfbb8e,112.53751,-7.83272,,,,,,,,,
Jawa Timur,Blitar,25131e20-b47f-487f-8de3-c6139e4c8a60,112.23333,-8.13333,,,,,,,,,
Jawa Timur,Blitar,e6568986-63ad-47c2-921a-7e17f334fa6a,112.16667,-8.1,,,,,,,,,
Jawa Timur,Bojonegoro,b64853f2-fdc5-40b9-91dc-cab4b6a8df0a,111.80972,-7.25556,,,,,,,,,
Jawa Timur,Bondowoso,2d40743b-9b8d-4d4f-a282-162942b50cc4,113.9834,-7.9404,,,,,,,,,
Jawa Timur,Gresik,1c0b4d54-562a-466a-a9d6-c609ac2eb4c3,112.553,-7.1933,,,,,,,,,
Jawa Timur,Jember,48f3dba8-0889-46d9-b11b-1cb6acfa4b94,113.66667,-8.23333,,,,,,,,,
Jawa Timur,Jombang,a6f922b3-b4ff-4afb-a0bd-d61dba8a3d7c,112.26667,-7.55,,,,,,,,,
Jawa Timur,Kediri,036ec39f-86aa-4840-9dad-4c6b9d9fb5c2,112.01667,-7.83333,,,,,,,,,
